,Champion,Result,Date,Game,player,Tournament,duration_minutes,K,D,A,match_result,match_type
422,Nautilus,Defeat,2024-05-11,GEN vs Top Esports,meiko,MSI 2024,31.85,0,3,6,Defeat,BO5
423,Milio,Victory,2024-05-07,Team Liquid vs Top Esports,meiko,MSI 2024,25.95,0,0,16,Victory,BO5
424,Ornn,Victory,2024-05-07,Team Liquid vs Top Esports,meiko,MSI 2024,24.15,3,1,10,Victory,BO5
425,Nami,Victory,2024-05-07,Team Liquid vs Top Esports,meiko,MSI 2024,27.416666666666668,2,0,11,Victory,BO5
426,Ashe,Victory,2024-05-03,Top Esports vs Fnatic,meiko,MSI 2024,28.083333333333332,1,2,11,Victory,BO3
427,Rumble,Defeat,2024-05-03,Top Esports vs Fnatic,meiko,MSI 2024,28.883333333333333,2,5,5,Victory,BO3
428,Nami,Victory,2024-05-03,Top Esports vs Fnatic,meiko,MSI 2024,29.166666666666668,1,2,15,Victory,BO3
429,Renata Glasc,Victory,2024-05-02,Top Esports vs LOUD,meiko,MSI 2024,28.783333333333335,0,2,21,Victory,BO3
430,Tahm Kench,Victory,2024-05-02,Top Esports vs LOUD,meiko,MSI 2024,32.88333333333333,0,4,23,Victory,BO3
431,Rakan,Defeat,2024-04-20,BLG vs Top Esports,meiko,LPL Spring Playoffs 2024,32.666666666666664,0,2,4,Defeat,BO5
432,Ashe,Victory,2024-04-20,BLG vs Top Esports,meiko,LPL Spring Playoffs 2024,36.71666666666667,2,4,15,Defeat,BO5
433,Nautilus,Defeat,2024-04-20,BLG vs Top Esports,meiko,LPL Spring Playoffs 2024,23.2,0,5,4,Defeat,BO5
434,Tahm Kench,Defeat,2024-04-20,BLG vs Top Esports,meiko,LPL Spring Playoffs 2024,43.28333333333333,2,4,7,Defeat,BO5
435,Tahm Kench,Victory,2024-04-14,Top Esports vs JD Gaming,meiko,LPL Spring Playoffs 2024,34.15,3,0,10,Victory,BO5
436,Rumble,Victory,2024-04-14,Top Esports vs JD Gaming,meiko,LPL Spring Playoffs 2024,28.0,1,0,9,Victory,BO5
437,Leona,Defeat,2024-04-14,Top Esports vs JD Gaming,meiko,LPL Spring Playoffs 2024,32.666666666666664,1,3,8,Victory,BO5
438,Nami,Victory,2024-04-14,Top Esports vs JD Gaming,meiko,LPL Spring Playoffs 2024,29.566666666666666,1,3,13,Victory,BO5
439,Thresh,Defeat,2024-04-11,BLG vs Top Esports,meiko,LPL Spring Playoffs 2024,35.083333333333336,0,3,6,Defeat,BO5
440,Nautilus,Victory,2024-04-11,BLG vs Top Esports,meiko,LPL Spring Playoffs 2024,35.0,0,4,17,Defeat,BO5
441,Nami,Defeat,2024-04-11,BLG vs Top Esports,meiko,LPL Spring Playoffs 2024,37.88333333333333,2,4,1,Defeat,BO5
442,Nami,Victory,2024-04-11,BLG vs Top Esports,meiko,LPL Spring Playoffs 2024,34.68333333333333,0,1,11,Defeat,BO5
443,Thresh,Defeat,2024-04-11,BLG vs Top Esports,meiko,LPL Spring Playoffs 2024,35.833333333333336,1,4,8,Defeat,BO5
444,Rumble,Victory,2024-04-07,Top Esports vs JD Gaming,meiko,LPL Spring Playoffs 2024,37.8,5,3,12,Victory,BO5
445,Alistar,Victory,2024-04-07,Top Esports vs JD Gaming,meiko,LPL Spring Playoffs 2024,38.31666666666667,0,2,15,Victory,BO5
446,Nautilus,Victory,2024-04-07,Top Esports vs JD Gaming,meiko,LPL Spring Playoffs 2024,38.36666666666667,2,3,14,Victory,BO5
447,Ornn,Victory,2024-03-27,Top Esports vs NIP,meiko,LPL Spring 2024,34.35,1,1,8,Victory,BO3
448,Nautilus,Victory,2024-03-27,Top Esports vs NIP,meiko,LPL Spring 2024,28.433333333333334,2,2,9,Victory,BO3
449,Nami,Victory,2024-03-24,Top Esports vs AL,meiko,LPL Spring 2024,27.433333333333334,0,2,8,Victory,BO3
450,Renata Glasc,Victory,2024-03-24,Top Esports vs AL,meiko,LPL Spring 2024,32.88333333333333,0,3,10,Victory,BO3
451,Neeko,Defeat,2024-03-24,Top Esports vs AL,meiko,LPL Spring 2024,43.483333333333334,1,6,8,Victory,BO3
452,Nami,Victory,2024-03-22,TT vs Top Esports,meiko,LPL Spring 2024,26.733333333333334,0,1,10,Victory,BO3
453,Nautilus,Victory,2024-03-22,TT vs Top Esports,meiko,LPL Spring 2024,30.433333333333334,1,4,18,Victory,BO3
454,Ashe,Victory,2024-03-17,Team WE vs Top Esports,meiko,LPL Spring 2024,25.0,2,1,13,Victory,BO3
455,Braum,Victory,2024-03-17,Team WE vs Top Esports,meiko,LPL Spring 2024,28.7,1,3,17,Victory,BO3
456,Lulu,Defeat,2024-03-14,Top Esports vs JD Gaming,meiko,LPL Spring 2024,28.216666666666665,0,4,5,Defeat,BO3
457,Nautilus,Defeat,2024-03-14,Top Esports vs JD Gaming,meiko,LPL Spring 2024,28.283333333333335,0,4,2,Defeat,BO3
458,Renata Glasc,Victory,2024-03-14,Top Esports vs JD Gaming,meiko,LPL Spring 2024,33.016666666666666,2,0,6,Defeat,BO3
459,Maokai,Victory,2024-03-10,Ultra Prime vs Top Esports,meiko,LPL Spring 2024,35.28333333333333,0,4,12,Victory,BO3
460,Nautilus,Victory,2024-03-10,Ultra Prime vs Top Esports,meiko,LPL Spring 2024,22.25,0,3,14,Victory,BO3
461,Nautilus,Victory,2024-03-08,Top Esports vs OMG,meiko,LPL Spring 2024,27.0,2,3,13,Victory,BO3
462,Nautilus,Victory,2024-03-08,Top Esports vs OMG,meiko,LPL Spring 2024,24.583333333333332,0,0,8,Victory,BO3
463,Alistar,Victory,2024-03-04,LGD Gaming vs Top Esports,meiko,LPL Spring 2024,26.95,1,2,13,Victory,BO3
464,Nautilus,Victory,2024-03-04,LGD Gaming vs Top Esports,meiko,LPL Spring 2024,32.5,1,1,12,Victory,BO3
465,Rakan,Victory,2024-03-01,Top Esports vs IG,meiko,LPL Spring 2024,24.916666666666668,1,0,16,Victory,BO3
466,Milio,Defeat,2024-03-01,Top Esports vs IG,meiko,LPL Spring 2024,26.416666666666668,0,3,3,Victory,BO3
467,Milio,Victory,2024-03-01,Top Esports vs IG,meiko,LPL Spring 2024,31.083333333333332,1,1,11,Victory,BO3
468,Renata Glasc,Defeat,2024-02-26,Top Esports vs FPX,meiko,LPL Spring 2024,29.283333333333335,0,1,4,Defeat,BO3
469,Ashe,Defeat,2024-02-26,Top Esports vs FPX,meiko,LPL Spring 2024,29.566666666666666,0,6,2,Defeat,BO3
470,Tahm Kench,Victory,2024-02-26,Top Esports vs FPX,meiko,LPL Spring 2024,29.866666666666667,1,2,16,Defeat,BO3
471,Nami,Victory,2024-02-23,LNG Esports vs Top Esports,meiko,LPL Spring 2024,29.35,1,0,11,Victory,BO3
472,Renata Glasc,Victory,2024-02-23,LNG Esports vs Top Esports,meiko,LPL Spring 2024,26.083333333333332,0,0,8,Victory,BO3
473,Renata Glasc,Victory,2024-02-21,RNG vs Top Esports,meiko,LPL Spring 2024,23.45,0,2,16,Victory,BO3
474,Maokai,Victory,2024-02-21,RNG vs Top Esports,meiko,LPL Spring 2024,36.166666666666664,0,1,8,Victory,BO3
475,Ashe,Victory,2024-02-07,WBG vs Top Esports,meiko,LPL Spring 2024,37.583333333333336,0,4,9,Victory,BO3
476,Ashe,Victory,2024-02-07,WBG vs Top Esports,meiko,LPL Spring 2024,23.533333333333335,1,4,17,Victory,BO3
477,Tahm Kench,Victory,2024-02-03,Top Esports vs Rare Atom,meiko,LPL Spring 2024,22.55,3,0,13,Victory,BO3
478,Nami,Victory,2024-02-03,Top Esports vs Rare Atom,meiko,LPL Spring 2024,29.3,1,0,12,Victory,BO3
479,Nami,Victory,2024-01-27,Top Esports vs EDG,meiko,LPL Spring 2024,28.45,0,0,14,Victory,BO3
480,Tahm Kench,Victory,2024-01-27,Top Esports vs EDG,meiko,LPL Spring 2024,28.833333333333332,1,0,11,Victory,BO3
481,Soraka,Defeat,2024-01-22,BLG vs Top Esports,meiko,LPL Spring 2024,27.483333333333334,1,3,4,Defeat,BO3
482,Renata Glasc,Victory,2024-01-22,BLG vs Top Esports,meiko,LPL Spring 2024,30.566666666666666,2,2,10,Defeat,BO3
483,Nautilus,Defeat,2024-01-22,BLG vs Top Esports,meiko,LPL Spring 2024,27.05,1,4,2,Defeat,BO3
